id,question,A,B,C,D,answer,category
1,"Supondo que você seja um engenheiro de operações e manutenção de uma grande empresa de rede, e você precisa escrever um script Bash para monitorar e registrar o uso de CPU e memória do servidor regularmente. Qual das seguintes comandos podem ser utilizados em um script Bash para obtê-la?",ifconfig,netstat,top,lsblk,C,Infrastructure
2,"Em soluções de recuperação de desastres e backup de aplicativos web baseados em tecnologia cloud, qual das seguintes metodologias pode reduzir efetivamente a taxa de pontos únicos de falha do sistema e fazer com que o programa mostre alta disponibilidade?",Fazer backup de todos os dados e aplicativos em apenas uma região,Usar estratégias de recuperação automatizadas VM-based,Usar implantação multi-região ou multi-AZ,Realizar manutenção física regular no servidor,C,Middleware
3,"Você opera um grande site de comércio eletrônico, que enfrentará uma pressão de tráfego enorme durante festas especiais, como o 'Black Friday' ou o 'Double Eleven'. Qual das seguintes é uma estratégia que você poderia usar para enfrentar essa pressão?",Todas as atualizações e operações de manutenção do site são suspensas durante o período festivo.,Aumente o número de servidores antecipadamente para lidar com o crescimento esperado do tráfego.,Divisão do banco de dados para enhance query eficiência e capacidades de processamento concorrente.,Limite o número de compras por usuário durante a temporada de festas.,B,Application
4,"Na versão 2.0 da ITIL (IT Infrastructure Library) lançada em 2001, o quadro principal da ITIL foi expandido para 6 módulos principais, e o módulo ( ) está no centro.",business management,application management,service management,ICT infrastructure management,C,Middleware
5,"Ao projetar e implementar um sistema cluster de alta disponibilidade e escalonável, qual das seguintes não é uma solução de implementação a ser considerada?","Armazenamento de dados: adotar uma solução de armazenamento distribuído para armazenar dados em vários nós, como o uso de bancos de dados NoSQL ou sistemas de arquivos distribuídos e outras tecnologias.",Balanceamento de carga: use balanceador de carga de hardware ou balanceador de carga de software para realizar a distribuição de solicitações para garantir o balanceamento de carga de cada nó.,"Tolerância a falhas: por meio de tecnologias como backup, redundância e failover, garante-se que o sistema possa manter a disponibilidade em caso de falha de nó ou failover de rede.","Compressão de dados: Comprimindo os dados do sistema, os requisitos de armazenamento são reduzidos e a eficiência de armazenamento é aprimorada.",D,System architecture
6,"Se você estiver projetando uma solução de monitoramento de sistema na qual seja necessário monitorar o uso de recursos dos containers Docker, qual componente abaixo deve ser utilizado?",Grafana,cAdvisor,MySQL Exporter,Redis Exporter,B,Middleware
7,"Em gerenciamento de falhas, geralmente há três indicadores para descrever as características das falhas, sendo que o índice formulado de acordo com o grau de influência e urgência para descrever a sequência de tratamento de falhas é ( ),",Influência,urgência,prioridade,Crise,C,Application
8,Quais das seguintes afirmações sobre a melhoria do desempenho de sistemas de informação está correta?,Dobrar o ciclo do relógio do CPU duplica o throughput do sistema,"Em geral, aumentar a capacidade do disco pode reduzir significativamente o tempo de processamento médio do trabalho do CPU","Se o tempo de resposta médio da transação for alto, inicie por melhorar o desempenho de periféricos","Usando ferramentas de teste de desempenho, você pode descobrir os 20% do código que demoram mais para serem executados no programa e, em seguida, otimizar esses códigos",D,Application
9,"Based on the logs below, which of the following options most accurately explains why this error occurred? Log: 2021/03/12 18:25:16 [error] 12734#0: *881173 open() ""/data/app/portalWeb/nbdWeb/chunk/vendors~DataSource~DataTable~System_69b23.chunk.js"" failed (2: No such file or directory), client: 10.1.22.125, server: 10.0.2.143, request: ""GET /dodb/chunk/vendors~DataSource~DataTable~System_69b23.chunk.js HTTP/1.1"", host: ""10.0.2.143:18080"", referrer: ""http://10.0.2.143:18080/dodb/index.html""",The client IP address is wrong.,The server cannot handle HTTP/1.1 version requests.,The requested JS file does not exist on the server.,The server cannot handle the GET request.,C,Middleware
10,Você precisa instalar o servidor Apache em vários servidores remotos usando o playbook do Ansible. Qual dos seguintes códigos YAML pode concluir esta tarefa?,"```yaml
- hosts: webservers
 tasks:
- name: Install Apache
 apt:
 name: apache2
 state: present
```","```yaml
- hosts: webservers
 tasks:
- name: Install Apache
 apt:
 pkg: apache2
 state: installed
```","```yaml
- hosts: webservers
 tasks:
- name: Install Apache
 yum:
 name: apache2
 state: present
```","```yaml
- hosts: webservers
 tasks:
- name: Install Apache
 package:
 name: apache2
 state: present
```",A,Middleware
