id,question,A,B,C,D.,answer,category
1,Suponha que você seja um engenheiro de operações e manutenção de uma grande empresa de rede e precise escrever um script Bash para monitorar e registrar regularmente o uso de CPU e memória do servidor. Qual dos seguintes comandos pode ser usado em um script Bash para coletar essa informação?,ifconfig,netstat,top,lsblk,C,Infrastructure
2,Você precisa instalar o servidor Apache em vários servidores remotos usando um playbook do Ansible. Qual dos seguintes pedaços de código YAML pode realizar esta tarefa?,```yaml - hosts: webservers tasks: - name: Install Apache apt: name: apache2 state: present ```, ```yaml - hosts: webservers tasks: - name: Install Apache apt: pkg: apache2 state: installed ```, ```yaml - hosts: webservers tasks: - name: Install Apache yum: name: apache2 state: present ```, ```yaml - hosts: webservers tasks: - name: Install Apache package: name: apache2 state: present ```,C,Middleware
3,"O endereço de rede da LAN é 192.168.1.0/24, e o endereço do gateway que conecta a LAN a outras redes é 192.168.1.1. Quando o host 192.168.1.20 acessa a rede 172.16.1.0/24, suas configurações de roteamento estão corretas:",route add –net 192.168.1.0 gw 192.168.1.1 netmask 255.255.255.0 metric 1,route add –net 172.16.1.0 gw 192.168.1.1 netmask 255.255.255.255 metric 1,route add –net 172.16.1.0 gw 172.16.1.1 netmask 255.255.255.0 metric 1,route add default 192.168.1.0 netmask 172.16.1.1 metric 1,B,Application
4,"Das seguintes formulações, aquelas que não fazem parte do escopo do comando ifconfig são",Configurar o endereço de loopback local,Configurar o endereço IP da placa de rede,Ativar a placa de rede,Carregar a placa de rede no kernel,C,Middleware
5,"Quando um host na rede local utiliza o comando ping para testar a conexão de rede, verifica-se que os hosts na rede podem ser conectados, mas não podem ser conectados à rede pública. O problema pode ser:",A configuração do IP do host está incorreta,Não há gateway para conectar-se à LAN,O gateway da LAN ou o gateway do host está configurado incorretamente,As configurações do servidor DNS da LAN estão incorretas,D.,System architecture
6,"Dentre os seguintes arquivos, o arquivo que contém a relação de mapeamento entre nome de host e endereço IP é:",/etc/HOSTNAME,/etc/hosts,/etc/resolv.conf,/etc/networks,B,Middleware
7,"No modelo TCP/IP, a camada de aplicação inclui todos os protocolos de alto nível. Qual dos seguintes protocolos de aplicação pode realizar transferência de arquivos entre hosts locais e remotos.",telnet,FTP,SNMP,NFS,C,Application
8,"Quando não conseguimos nos conectar a uma rede remota, precisamos rastrear o caminho para ver onde o problema ocorre na rede. O comando para atender a este propósito é:",ping,ifconfig,traceroute,netstat,D.,Application
9,O sistema de nomes de domínio DNS é principalmente responsável pela resolução entre nomes de host e o que.,endereço IP,endereço MAC,endereço do website,alias do host,C,Middleware
10,"O servidor WWW é o mais amplamente utilizado na Internet, qual estrutura ele adota.",servidor/estação de trabalho,B/S,centralizada,distribuída,A,Middleware
11,"A gestão de redes tem as seguintes funções principais: gerenciamento de configuração, gerenciamento de desempenho, gerenciamento de segurança, gerenciamento de cobrança e qual das seguintes funções.",gerenciamento de falhas,Gerenciamento de backup diário,Gerenciamento de escalonamento,enviar email,D.,Database
12,"Em relação à discussão sobre o servidor proxy, a correta é:","Utilizar um servidor proxy público existente na internet, apenas o cliente precisa ser configurado.",O servidor proxy só pode proxiar solicitações HTTP do cliente.,O servidor proxy configurado pode ser utilizado por qualquer host na rede.,Os clientes que usam servidores proxy não têm seus próprios endereços IP.,D.,Network 
13,"Em um cenário de recuperação de desastres de sistema, qual das seguintes opções não é principalmente usada para reduzir a perda de dados?","Usar a arquitetura de master-backup, ou seja, todos os dados e configurações do servidor master são copiados para o servidor de backup em tempo real.","Fazer backup regularmente de dados críticos e arquivos de configuração, com backups completos disponíveis diariamente e backups incrementais a cada hora.","Para servidores de banco de dados, usar técnicas de replicação de banco de dados, como replicação master-escravo ou replicação multimestre, para replicar dados para servidores de backup em tempo real.","Estabelecer um processo de recuperação de desastres automatizado, incluindo etapas como recuperação do sistema, recuperação de dados e recuperação de configuração.",B,Software architecture
14,O comando para realizar a conversão de endereço IP para endereço MAC Ethernet é:,ping,ifconfig,arp,traceroute,C,Software architecture
15,"Ao testar o sistema DNS, defina o número do processo named para 53, qual comando informa o processo para reler o arquivo de configuração?",kill -USR2 53,kill -USR1 53,kill -INT 63,kill -HUP 53,C,Software architecture
16,"Na configuração de DNS, o alias usado para representar um host é:",NS,CNAME,name,CN,A,Network 
17,Qual arquivo deve ser editado para garantir que o processo DHCP inicie automaticamente quando o servidor é iniciado,/etc/rc.d/rc.inet2,/etc/rc.d/rc.inet1,/etc/dhcpd.conf,/etc/rc.d/rc.S,D.,Network 
18,"Entre os seguintes protocolos de rede, o protocolo orientado à conexão é:",transmission control protocol,User Datagram Protocol,internet protocol,Internet Control Message Protocol,B,Network 
19,"Entre os parâmetros de carregamento do sistema de arquivos especificados no arquivo /etc/fstab, quais parâmetros são geralmente usados para dispositivos móveis como CD-ROMs.",defaults,sw,rw e ro,no auto,D.,Operating system
20,As permissões de arquivo do Linux têm um comprimento total de 10 dígitos e são divididas em quatro seções. O conteúdo da terceira seção é:,tipo de arquivo,permissões do proprietário do arquivo,permissões do grupo do proprietário do arquivo,permissões para outros usuários,B,Operating system
21,"Tem muitas funções da linguagem C, também conhecida como filtro é:",csh,tcsh,awk,sed,A,Operating system
22,"Para que um host possa se comunicar com outra LAN através de uma LAN, o trabalho que precisa ser feito é",Configurar DNS,Definir uma rota apontando para a rede local,Definir uma rota apontando para o gateway da rede local,Definir uma rota local apontando para o gateway da rede de destino,B,Operating system
23,Os arquivos necessários para estabelecer roteamento dinâmico são:,/etc/hosts,/etc/HOSTNAME,/etc/resolv.conf,/etc/gateways,B,Operating system
24,"A arquitetura de um servidor DNS inclui componentes como servidores DNS mestre-escravo, servidores DNS de cache e roteadores de resolução de nomes de domínio. Qual desses componentes é principalmente responsável pela distribuição do tráfego de consultas DNS dos usuários para diferentes servidores DNS, a fim de melhorar a confiabilidade e a escalabilidade da rede?",servidor DNS primário,servidor DNS de saída,servidor DNS de cache,roteador de resolução de nome de domínio,D.,Information security 
25,"O sistema de gerenciamento de operação do sistema é um conteúdo importante do gerenciamento de sistemas. É todas as condições necessárias, mecanismo de operação e medidas de salvaguarda para garantir que o sistema opere de acordo com o objetivo predeterminado e exerça plenamente seus benefícios. Normalmente, deve incluir: (). ①Organização da operação do sistema ②Gerenciamento de dados básicos ③Gerenciamento do sistema operacional ④Análise dos resultados da operação do sistema","①, ②, ③, ④","①, ②, ③",①、③,"②, ③, ④",D.,Application
26,"Entre as formulações a seguir, aquelas que não pertencem ao escopo do comando ifconfig são:",Configurar o endereço de loopback local,Configurar o endereço IP da placa de rede,Ativar adaptador de rede,Carregar a placa de rede no kernel,C,Middleware
27,"Em relação à descrição do link abaixo, o erro é:",Um link físico é fazer o número do i-node do arquivo vinculado apontar para o i-node do arquivo vinculado,Tanto os links físicos quanto os links simbólicos geram um novo i-node,Os links são divididos em links físicos e links simbólicos,Os links físicos não podem vincular arquivos de diretório,C,Information security 
28,"Quando um host na rede local utiliza o comando ping para testar a conexão de rede, verifica-se que os hosts na rede podem ser conectados, mas não podem ser conectados à rede pública. O problema pode ser:",A configuração de IP do host está errada,Não há gateway para conectar-se à LAN,O gateway da LAN ou o gateway do host está configurado incorretamente,As configurações do servidor DNS da LAN estão incorretas,B,Infrastructure
29,"Entre os seguintes arquivos, o arquivo que contém a relação de mapeamento entre nome de host e endereço IP é:",/etc/HOSTNAME,/etc/hosts,/etc/resolv.conf,/etc/networks,C,Network 
30,Qual é a medida de segurança para impedir que usuários ilegais acessem o sistema de aplicação de banco de dados.,controle de acesso,Identificação e Autenticação de Usuários,mecanismo de visualização,criptografia de dados,B,Information security 
31,O caso onde o kernel não precisa ser compilado é:,Ao deletar drivers de dispositivos não utilizados pelo sistema,Ao atualizar o kernel,Ao adicionar novo hardware,Ativar a placa de rede,A,Information security 
32,Qual comando pode interceptar os dados do conteúdo especificado de cada linha do arquivo de texto,cp,dd,fmt,cut,C,Information security 
33,Qual dos seguintes não é um tipo de processo do sistema Linux,processo interativo,processo em lote,processo daemon,Processo pronto (estado do processo),B,Software architecture
34,O papel do diagrama de fluxo de dados (DFD) é (),Descrever a relação entre objetos de dados,Descrever o fluxo de processamento dos dados,Descrever a decisão lógica que ocorrerá,Indicar a reação do sistema a eventos externos,B,Application
35,"O processo de desenvolvimento de software inclui sub-processos como análise de requisitos, design geral, design detalhado, codificação, teste e manutenção. O design estrutural geral do software é concluído no sub-processo ( ).",análise de demanda,design de esboço,design detalhado,escrever código,C,Information security 
36,"A classificação do trabalho de gerenciamento de sistemas de TI pode ser dividida pelo tipo de sistema e pelo tipo de processo. Se for dividida pelo tipo de sistema, geralmente é dividida em quatro categorias. O que não está incluído:","Sistema de informação: a plataforma básica para o processamento de informações da empresa, diretamente para o departamento de negócios (cliente)","Sistema de rede: a infraestrutura da empresa, a plataforma de suporte central em outros aspectos","Sistema de pessoal: a base da empresa, o executor de todos os aspectos de gerenciamento","Sistema operacional; diversos sistemas de gerenciamento operacional de TI da empresa, a plataforma central de gerenciamento do departamento de TI",B,Operating system
37,O que é largura de banda do barramento?,"O número total de linhas de sinal usadas para transmitir sinais de dados, endereços e controle",O número de dígitos binários que o barramento pode transmitir simultaneamente,A quantidade total de dados transmitidos através do barramento por unidade de tempo,Os tipos de linhas de sinal no barramento,B,Middleware
38,O arquivo de configuração que precisa ser modificado para configurar o servidor Apache 1.3.19 é:,httpd.conf,access.conf,srm.conf,named.conf,D.,Network 
39,Subsistemas não cobertos pelo kernel são:,sistema de gerenciamento de processos,sistema de gerenciamento de memória,sistema de gerenciamento de I/O,sistema de gerenciamento de hardware,C,Middleware
40,"Na gestão diária, o CPU geralmente afeta o desempenho do sistema quando:",O CPU está operando com capacidade total,A eficiência operacional do CPU é de 30%,A eficiência operacional do CPU é de 50%,A eficiência operacional do CPU é de 80%,A,Infrastructure
41,"Se um computador tem 128MB de memória, o tamanho da partição de swap geralmente é",64MB,128MB,256MB,512MB,C,Application
42,Que tipo de software é o software que converte o programa fonte escrito na linguagem C para o programa objeto?,compilação,compile,explain,assembly,B,Information security 
43,Qual é o critério principal para medir a qualidade do desenvolvimento do sistema,Atender aos indicadores técnicos,Atender aos requisitos do designer,Atender aos requisitos do usuário,Especificações,C,Application
44,"O quinto passo no processo de instalação do Linux é permitir que o usuário escolha o método de instalação. Se o usuário quiser instalar alguns componentes (programas de software) e deixar o sistema instalá-los automaticamente após a seleção, a opção que deve ser selecionada é:",full,experts,newbie,menu,A,Middleware
45,"O Linux tem três comandos para visualizar arquivos. Se você quiser usar o cursor para mover para cima e para baixo para visualizar o conteúdo do arquivo durante o processo de visualização do conteúdo do arquivo, qual comando deve ser usado.",cat,more,less,menu,B,Database
46,"Na sua empresa, você precisa implantar um sistema distribuído. Você escolheu usar o Kubernetes para ajudar a gerenciar esse sistema. Quando você estiver pronto para implantar um novo microserviço, o que você deve criar no Kubernetes para descrever e controlar seu microserviço?",ConfigMaps,Ingress, Deployment,Volume,C,System architecture
